City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
4,Labuhan,ID,78.13,overcast clouds,-6.8844,112.2051,DoubleFAG
5,Ndungu,TZ,72.43,light rain,-4.3667,38.05,Nick Resort
7,Meulaboh,ID,77.63,overcast clouds,4.1363,96.1285,Kost Pria
12,Kokopo,PG,76.01,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
14,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
16,Hilo,US,77.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
17,Fortuna,US,66.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
18,Tabou,CI,78.58,clear sky,4.423,-7.3528,hotêl doufoulougou
19,Kavieng,PG,80.58,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
20,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
21,Yura,PE,68.52,clear sky,-16.2522,-71.6797,Hotel Yura
22,Sterling,US,60.35,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
23,Rikitea,PF,78.96,light rain,-23.1203,-134.9692,People ThankYou
35,Chuy,UY,68.36,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
39,Caravelas,BR,80.96,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
41,Mexico,PH,79.14,overcast clouds,15.0646,120.7198,stone place
44,Bubaque,GW,79.43,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
45,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
49,Namatanai,PG,77.79,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
50,Constitucion,CL,71.38,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
51,Boueni,YT,78.78,few clouds,-12.9025,45.0761,The feet in water
52,Bengkulu,ID,75.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
55,Botucatu,BR,77.72,few clouds,-22.8858,-48.445,Primar Plaza Hotel
57,Bentiu,SS,81.09,clear sky,9.2333,29.8333,Mandela hôtel
60,Charleston,US,70.21,scattered clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
65,Flinders,AU,64.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
71,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Castro,BR,77.47,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
78,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
80,Aguimes,ES,63.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
81,Butaritari,KI,82.8,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
83,Bredasdorp,ZA,68.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
86,Oudtshoorn,ZA,66.56,overcast clouds,-33.5907,22.2014,Earthbound Guest House
87,Juruti,BR,82.31,overcast clouds,-2.1522,-56.0922,Pousada Marupiara
90,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
95,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
98,Malakal,SS,79.88,scattered clouds,9.5334,31.6605,Nile Palace Hotel
99,Rayong,TH,81.72,scattered clouds,12.8333,101.4333,Suan Palm Garden View Hotel
100,Ghotki,PK,60.66,clear sky,28.006,69.3161,BISMILLAH HOTAL $ CHAI
101,Tepalcatepec,MX,85.3,broken clouds,19.1833,-102.85,Maria De Jesus
103,Namibe,AO,75.79,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
104,Karachi,PK,60.62,haze,24.9056,67.0822,Sadaat
