City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuryk,KZ,43.2,51.65,45.48,84,81,15.86,broken clouds
1,Iquique,CL,-20.2208,-70.1431,75.24,64,3,11.61,clear sky
2,Hobart,AU,-42.8794,147.3294,57.25,77,75,8.05,broken clouds
3,Dubbo,AU,-32.25,148.6167,55.53,94,0,9.22,clear sky
4,Labuhan,ID,-6.8844,112.2051,78.13,80,100,4.18,overcast clouds
5,Ndungu,TZ,-4.3667,38.05,72.43,92,100,3.04,light rain
6,Holme,DK,56.1138,10.1725,37.29,77,100,21.79,overcast clouds
7,Meulaboh,ID,4.1363,96.1285,77.63,84,96,3.91,overcast clouds
8,Leningradskiy,RU,69.3833,178.4167,-19.14,97,98,4.14,overcast clouds
9,Durango,MX,24.8333,-104.8333,63.01,12,1,11.97,clear sky
10,Saskylakh,RU,71.9167,114.0833,0.03,75,61,11.72,broken clouds
11,Jiehu,CN,35.5428,118.455,36.41,77,99,1.23,overcast clouds
12,Kokopo,PG,-4.352,152.2633,76.01,88,100,5.19,overcast clouds
13,Gamba,GA,-2.65,10.0,78.53,88,100,6.85,light rain
14,Atuona,PF,-9.8,-139.0333,77.68,78,4,13.91,light rain
15,Goderich,CA,43.7501,-81.7165,15.91,79,100,14.97,overcast clouds
16,Hilo,US,19.7297,-155.09,77.11,71,0,5.99,clear sky
17,Fortuna,US,40.5982,-124.1573,66.92,66,0,1.01,clear sky
18,Tabou,CI,4.423,-7.3528,78.58,85,5,6.35,clear sky
19,Kavieng,PG,-2.5744,150.7967,80.58,78,100,4.14,overcast clouds
20,Avarua,CK,-21.2078,-159.775,80.65,78,20,3.44,few clouds
21,Yura,PE,-16.2522,-71.6797,68.52,32,0,12.66,clear sky
22,Sterling,US,39.0062,-77.4286,60.35,47,0,12.66,clear sky
23,Rikitea,PF,-23.1203,-134.9692,78.96,70,1,16.04,light rain
24,Qaanaaq,GL,77.484,-69.3632,-20.67,48,0,8.48,clear sky
25,Tateyama,JP,34.9833,139.8667,37.42,57,34,0.76,scattered clouds
26,Rawah,IQ,34.4816,41.9093,52.9,37,0,9.6,clear sky
27,Bonavista,CA,48.6499,-53.1147,41.11,80,100,24.11,overcast clouds
28,Upernavik,GL,72.7868,-56.1549,-3.24,97,100,11.63,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,47.86,53,40,37.98,scattered clouds
30,Tahe,CN,52.3333,124.7333,-7.92,94,99,3.51,overcast clouds
31,Svetlaya,RU,46.5389,138.3297,23.79,90,100,13.13,snow
32,Yellowknife,CA,62.456,-114.3525,-12.71,83,20,3.44,few clouds
33,Oxbow,CA,49.2333,-102.1676,6.75,81,100,7.92,overcast clouds
34,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,6.91,clear sky
35,Chuy,UY,-33.6971,-53.4616,68.36,97,100,8.1,overcast clouds
36,Saint-Ambroise,CA,48.5501,-71.3324,8.58,78,100,17.27,snow
37,Brae,GB,60.3964,-1.353,46.31,88,93,23.42,overcast clouds
38,Ketchikan,US,55.3422,-131.6461,40.98,93,100,4.54,light rain
39,Caravelas,BR,-17.7125,-39.2481,80.96,73,100,6.82,overcast clouds
40,Zeya,RU,53.75,127.2667,-7.11,88,93,4.83,overcast clouds
41,Mexico,PH,15.0646,120.7198,79.14,80,100,3.98,overcast clouds
42,Albany,US,42.6001,-73.9662,45.95,55,55,3.0,broken clouds
43,Tasiilaq,GL,65.6145,-37.6368,5.47,66,100,4.05,overcast clouds
44,Bubaque,GW,11.2833,-15.8333,79.43,65,1,12.39,clear sky
45,Kapaa,US,22.0752,-159.319,77.32,71,40,11.5,scattered clouds
46,Pisco,PE,-13.7,-76.2167,76.01,60,0,11.5,clear sky
