City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-02-10 18:49:43,-23.1203,-134.9692,78.67,74,89,20.02
1,Saldanha,ZA,2022-02-10 18:49:44,-33.0117,17.9442,68.05,80,0,11.18
2,Mataura,NZ,2022-02-10 18:49:44,-46.1927,168.8643,58.48,95,100,2.71
3,Bengkulu,ID,2022-02-10 18:49:45,-3.8004,102.2655,75.96,75,100,5.44
4,Chernyshkovskiy,RU,2022-02-10 18:49:45,48.4219,42.2308,35.64,98,100,14.41
5,Ushuaia,AR,2022-02-10 18:45:52,-54.8,-68.3,49.62,76,75,29.93
6,Provideniya,RU,2022-02-10 18:49:46,64.3833,-173.3,-19.73,92,46,3.29
7,Poso,ID,2022-02-10 18:49:47,-1.3959,120.7524,76.64,85,82,3.04
8,Amot,NO,2022-02-10 18:49:47,59.5714,7.9877,30.22,93,17,5.39
9,Rocha,UY,2022-02-10 18:47:26,-34.4833,-54.3333,81.43,44,0,15.48
10,Andijon,UZ,2022-02-10 18:49:48,40.7821,72.3442,38.48,58,100,4.76
11,Concordia,AR,2022-02-10 18:49:49,-31.393,-58.0209,93.27,32,20,2.3
12,Ahipara,NZ,2022-02-10 18:49:49,-35.1667,173.1667,73.17,97,100,9.33
13,Puerto Ayora,EC,2022-02-10 18:49:50,-0.7393,-90.3518,82.36,82,93,5.99
14,Ketchikan,US,2022-02-10 18:49:51,55.3422,-131.6461,39.67,65,100,4.61
15,Mandasa,IN,2022-02-10 18:49:51,18.8667,84.4667,69.6,77,11,3.09
16,Jamestown,US,2022-02-10 18:49:52,42.097,-79.2353,37.29,65,100,12.66
17,Turukhansk,RU,2022-02-10 18:49:53,65.8167,87.9833,-24.03,99,17,4.94
18,Nikolskoye,RU,2022-02-10 18:49:53,59.7035,30.7861,36.88,93,100,10.42
19,Marquette,US,2022-02-10 18:49:57,46.5333,-87.6335,23.34,61,100,5.7
20,Saskylakh,RU,2022-02-10 18:49:58,71.9167,114.0833,4.59,94,100,13.44
21,Barrow,US,2022-02-10 18:49:58,71.2906,-156.7887,-32.78,99,0,8.05
22,Tlumacov,CZ,2022-02-10 18:49:59,49.2535,17.4956,49.03,79,89,7.61
23,Kapaa,US,2022-02-10 18:49:40,22.0752,-159.319,74.19,85,0,10.36
24,Lodja,CD,2022-02-10 18:50:00,-3.4833,23.4333,71.94,86,88,1.63
25,Vaini,TO,2022-02-10 18:50:00,-21.2,-175.2,81.37,80,100,22.41
26,Hamilton,US,2022-02-10 18:47:12,39.1834,-84.5333,46.65,59,40,13.8
27,Coquimbo,CL,2022-02-10 18:46:26,-29.9533,-71.3436,68.02,74,39,5.73
28,Vila Velha,BR,2022-02-10 18:50:01,-20.3297,-40.2925,78.75,85,40,12.66
29,Banda Aceh,ID,2022-02-10 18:50:02,5.5577,95.3222,78.15,82,100,4.99
30,Lebu,CL,2022-02-10 18:48:09,-37.6167,-73.65,61.21,61,100,25.95
31,Synya,RU,2022-02-10 18:50:03,65.3718,58.0387,23.47,90,100,15.46
32,Minas Novas,BR,2022-02-10 18:50:04,-17.2186,-42.5903,79.63,80,94,3.42
33,Itaituba,BR,2022-02-10 18:50:04,-4.2761,-55.9836,91.56,58,40,5.75
34,Esperance,AU,2022-02-10 18:50:05,-33.8667,121.9,73.24,49,17,21.56
35,Upernavik,GL,2022-02-10 18:50:05,72.7868,-56.1549,-4.85,94,100,3.85
36,Ormara,PK,2022-02-10 18:50:06,25.2088,64.6357,70.63,55,0,9.37
37,Kodiak,US,2022-02-10 18:50:06,57.79,-152.4072,15.31,79,0,6.91
38,Khipro,PK,2022-02-10 18:50:07,25.8285,69.3772,63.28,26,0,4.12
39,Cherskiy,RU,2022-02-10 18:47:21,68.75,161.3,-35.79,99,100,6.53
40,Yamada,JP,2022-02-10 18:50:08,39.4667,141.95,31.66,80,99,9.31
41,Scarborough,GB,2022-02-10 18:47:12,54.2797,-0.4044,43.09,75,100,8.99
42,Port Elizabeth,ZA,2022-02-10 18:48:33,-33.918,25.5701,68.29,83,75,12.66
43,Parabel,RU,2022-02-10 18:50:09,58.6978,81.4825,-20.47,100,78,1.92
44,Antalya,TR,2022-02-10 18:49:20,36.7741,30.7178,50.59,29,0,18.41
45,Avarua,CK,2022-02-10 18:50:10,-21.2078,-159.775,78.85,89,100,6.91
46,Leningradskiy,RU,2022-02-10 18:50:10,69.3833,178.4167,-19.43,96,100,5.06
47,Geraldton,AU,2022-02-10 18:48:25,-28.7667,114.6,68.41,88,0,8.05
48,Hobart,AU,2022-02-10 18:51:36,-42.8794,147.3294,54.05,69,18,5.28
49,Narsaq,GL,2022-02-10 18:52:45,60.9167,-46.05,10.74,63,63,7.63
50,Arrecife,ES,2022-02-10 18:52:45,28.963,-13.5477,69.87,73,15,0.0
51,Camacupa,AO,2022-02-10 18:52:46,-12.0167,17.4833,61.84,91,100,4.38
52,Gat,IL,2022-02-10 18:52:47,31.61,34.7642,52.48,100,87,4.97
53,Klaksvik,FO,2022-02-10 18:52:29,62.2266,-6.589,29.32,54,83,13.02
54,Tasiilaq,GL,2022-02-10 18:48:41,65.6145,-37.6368,17.76,62,35,7.14
55,Olafsvik,IS,2022-02-10 18:52:48,64.8945,-23.7142,34.14,57,35,24.63
56,Busselton,AU,2022-02-10 18:52:48,-33.65,115.3333,66.09,65,0,5.26
57,Sola,VU,2022-02-10 18:52:49,-13.8833,167.55,82.18,76,100,21.68
58,Ouro Preto Do Oeste,BR,2022-02-10 18:48:12,-10.7481,-62.2158,81.72,89,92,6.04
59,Paramonga,PE,2022-02-10 18:52:50,-10.6667,-77.8333,75.06,67,91,8.79
60,Kaitangata,NZ,2022-02-10 18:52:01,-46.2817,169.8464,57.56,93,78,3.67
61,Portland,US,2022-02-10 18:49:53,45.5234,-122.6762,50.41,88,100,3.0
62,Nueve De Julio,AR,2022-02-10 18:48:18,-35.4444,-60.8831,86.72,32,0,9.8
63,Parrita,CR,2022-02-10 18:52:51,9.5201,-84.3225,93.06,63,26,8.12
64,Malinta,PH,2022-02-10 18:52:52,12.3022,123.5575,75.4,83,89,8.97
65,Balabac,PH,2022-02-10 18:52:52,7.9868,117.0645,79.95,82,100,14.63
66,Punta Arenas,CL,2022-02-10 18:47:56,-53.15,-70.9167,51.82,53,40,32.21
67,Shu,KZ,2022-02-10 18:52:53,43.5983,73.7614,28.22,73,20,3.49
68,Albany,US,2022-02-10 18:52:01,42.6001,-73.9662,45.3,67,29,5.01
69,Colwyn Bay,GB,2022-02-10 18:52:54,53.2948,-3.7267,44.91,83,17,5.99
70,Padang,ID,2022-02-10 18:52:54,-0.9492,100.3543,77.38,79,100,2.46
71,Nanortalik,GL,2022-02-10 18:52:55,60.1432,-45.2371,25.61,58,100,9.44
72,Guaira,BR,2022-02-10 18:52:55,-20.3183,-48.3106,71.38,95,96,7.2
73,Rawson,AR,2022-02-10 18:52:56,-43.3002,-65.1023,65.23,38,83,20.65
74,Severo-Kurilsk,RU,2022-02-10 18:52:56,50.6789,156.125,24.35,73,97,8.28
75,Wewak,PG,2022-02-10 18:52:57,-3.5534,143.6268,78.58,87,100,4.79
76,Georgetown,MY,2022-02-10 18:50:43,5.4112,100.3354,79.95,91,20,2.3
77,Cidreira,BR,2022-02-10 18:49:41,-30.1811,-50.2056,76.5,72,0,16.33
78,Rio Grande,BR,2022-02-10 18:52:58,-32.035,-52.0986,84.31,65,85,16.42
79,Pisco,PE,2022-02-10 18:52:59,-13.7,-76.2167,80.02,73,0,9.22
80,Mahebourg,MU,2022-02-10 18:52:33,-20.4081,57.7,79.09,83,75,3.44
81,Touros,BR,2022-02-10 18:52:59,-5.1989,-35.4608,88.7,60,64,13.29
82,Codrington,AU,2022-02-10 18:53:00,-38.2667,141.9667,56.66,82,29,8.23
83,Bluff,NZ,2022-02-10 18:53:01,-46.6,168.3333,57.79,84,64,14.18
